-0.003961-0.027259i,0.010764-0.051724i,0.034625-0.012283i,-0.008444-0.013214i,-0.094031-0.01638i,-0.011166-0.0068986i,0.031519-0.0061021i,-0.019534+0.060603i,-0.0055793+0.05503i,0.004605+0.045833i,0.021831+0.062499i,-0.0018145+0.0061353i,-0.0018273+0.02141i,0.040116+0.025101i,-0.018118-0.010711i,-0.0046885+0.0010145i,0.031911-0.0017315i,-0.023041+0.025114i,-0.019662-0.011033i,-0.00050925-0.055112i,0.030989-0.0077155i,0.024601-0.038326i,-0.010755-0.039731i,0.037969-0.0016524i,0.0027949-0.022373i,-0.037601-0.013174i,0.0084709-0.018504i,0.011308+0.0091813i,0.031117+0.021023i,0.015067-0.010362i,0.0041476+0.049409i,0.034075+0.025253i
0.025012-0.049713i,-0.01451-0.056581i,0.035907-0.03893i,0.02863-0.012825i,-0.0024866+0.0073446i,-0.043836-0.029872i,-0.050939+0.026072i,0.017252+0.043192i,-0.015389+0.0023442i,-0.038976+0.049033i,-0.0063572+0.045631i,0.012123+0.025558i,0.037845+0.020632i,-0.039817+0.032045i,-0.056429+0.05291i,0.026137-0.038372i,0.012319-0.04343i,0.0038142+0.035434i,0.012265+0.016443i,0.029967-0.0024332i,0.024139-0.044795i,-0.019591-0.042394i,0.054544+0.00044549i,0.050619-0.039755i,-0.041989-0.043105i,0.0055612-0.028042i,0.040883+0.018662i,0.0067878+0.057436i,-0.0481-0.013543i,-0.026648+0.0096177i,0.06634+0.040782i,0.022132-0.013613i
0.025471-0.0041612i,0.0016826+0.022519i,0.020019-0.034723i,0.030455-0.016898i,-0.015133-0.035548i,-0.043422-0.025065i,0.041188+0.025837i,-0.0078211+0.022094i,-0.080384+0.032732i,-0.014231+0.016262i,-0.010993+0.033509i,-0.029403+0.029587i,-0.02848-0.031303i,-0.0011377+0.030291i,0.012397+0.042899i,-0.050117-0.0099263i,-0.010708+0.013016i,0.021995+0.010243i,-0.0091653+0.0072591i,0.041755-0.017567i,0.04696-0.018186i,0.044552+0.012899i,0.049544-0.039593i,0.013873-0.014763i,0.015877+0.0053344i,-0.015859-0.059318i,-0.00055385-0.022923i,0.031098+0.022106i,-0.019661+0.042214i,-0.0090882+0.031671i,-0.0164+0.0029939i,-0.011865+0.037388i
0.048128+0.001975i,0.051828-0.045822i,0.024689+0.0038652i,0.031662+0.038198i,-0.026969-0.0074018i,-0.012008-0.037717i,0.0028856-0.020303i,-0.0363+0.059471i,-0.013916+0.0077958i,-0.026289-0.047009i,-0.023734+0.042917i,-0.014593+0.034618i,-0.031286-0.0056848i,-0.028902-0.0088442i,-0.074646-0.014155i,-0.0093883+0.0034058i,0.067039-0.0091121i,-0.033255+0.040406i,-0.040884+0.050344i,0.047195-0.017097i,0.075077+0.011953i,0.028396+0.00074659i,0.0057803-0.016999i,0.09698+0.0054974i,0.052563-0.033162i,-0.04049-0.017705i,0.014757+0.012046i,-0.0017698+0.020556i,-0.042159-0.004612i,-0.023004-0.042668i,0.012039+0.057312i,0.027622+0.062771i
0.060644-0.015623i,-0.036506+0.012921i,0.0048981+0.0067619i,0.050465-0.025644i,0.016392+0.010419i,-0.028446-0.013087i,-0.024049+0.010177i,0.028838+0.040119i,-0.045414-0.011323i,-0.072053-0.0046846i,0.010253-0.011358i,-0.0034296-0.016278i,-0.01263-0.012548i,-0.03032-0.01925i,-0.047404+0.0247i,-0.020724-0.023991i,-0.03501-0.039656i,-0.0027744+0.044645i,0.0064413+0.027529i,0.0029269+0.014713i,0.061661+0.024756i,0.042021+0.036036i,0.040505+0.046625i,0.040329-0.015343i,0.0020521-0.017496i,0.048475-0.019947i,0.037789-0.024779i,-0.014027+0.047103i,-0.037303+0.012569i,-0.04124-0.023134i,0.010783+0.0060864i,-0.019519+0.0064882i
0.039672+0.013451i,0.03853+0.048282i,-0.00072543-0.016653i,-0.022948+0.016054i,0.0032415+0.010883i,-0.018043-0.030758i,0.0018871+0.0016731i,-0.023744+0.018759i,-0.044324+0.020966i,0.02814-0.030517i,-0.0082741-0.014057i,-0.047524+0.041949i,-0.016753-0.05161i,0.0004402-0.076186i,-0.00037495-0.022824i,-0.046233-0.0088129i,-0.0041386+0.012923i,0.005984-0.0065064i,-0.076702+0.021665i,-0.0026437+0.043163i,0.064739+0.020114i,0.028396+0.047955i,0.015251+0.022428i,0.039663+0.033761i,0.078254+0.051604i,-0.0052725-0.026059i,-0.042616-0.013356i,0.040522+0.012624i,0.0044008-0.0070083i,-0.029291-0.017196i,-0.014622-0.013023i,-0.0059719+0.048071i
0.045109+0.0035891i,0.036237-0.040069i,-0.030255+0.015269i,0.015036+0.028831i,0.0084966-0.028863i,-0.021563-0.0073355i,-0.031536+0.011026i,-0.044878+0.035708i,-0.0062981-0.0062847i,-0.026141-0.06139i,-0.0045227+0.00828i,0.051216+0.0093139i,-0.0019716-0.022816i,-0.025068-0.03125i,-0.026966-0.059577i,0.0032753-0.02849i,0.023924-0.028538i,-0.056855-0.0063608i,-0.033348+0.032681i,0.022296+0.0065263i,0.0037708+0.057501i,-0.0039912+0.071867i,-0.019083+0.030194i,0.034688+0.028176i,0.049533-0.0011291i,0.0092639+0.030022i,0.032781+0.041166i,-0.020691+0.0015517i,-0.041925-0.0022368i,0.014279-0.037583i,0.0089462-0.0028009i,-0.00025478+0.016184i
0.055406+0.028988i,-0.018312+0.033907i,0.0020582-0.003482i,0.0019398-0.04982i,-0.022475+0.0072557i,-0.0054176-0.011256i,-0.030129-0.03448i,-0.01896+0.011235i,-0.028495+0.006875i,-0.024525+0.013474i,0.018763-0.019548i,-0.020399-0.029293i,0.013839-0.00076194i,0.059213-0.05172i,0.01269-0.037963i,-0.0042833-0.012816i,-0.022642-0.020787i,-0.0021683-0.0028841i,-0.018908-0.02981i,-0.063036+0.014649i,0.01765+0.054345i,0.027605+0.026759i,-0.024562+0.060017i,-0.024748+0.052064i,-0.0089618+0.033865i,0.039282+0.0106i,-0.0080427-0.018716i,-0.034877+0.041157i,0.032916+0.016658i,0.0084212-0.028829i,-0.010867+0.0055632i,-0.0057367+0.0054661i
0.034269+0.039362i,0.044877+0.012165i,0.013067-0.038414i,-0.029546+0.018094i,0.021784-0.0024884i,0.000851-0.062406i,-0.047301-0.0022321i,-0.063995-0.006505i,-0.026777-0.037479i,0.055894-0.032337i,-0.0060131+0.012349i,-0.03342+0.056606i,0.039095-0.031056i,0.025264-0.056674i,0.018184-0.015843i,0.019842-0.02925i,0.028068-0.0046944i,0.0042561-0.025263i,-0.058102-0.018573i,0.0021378+0.03859i,-0.0014446+0.026921i,-0.07324+0.026978i,-0.022779+0.0028919i,0.01447+0.019193i,0.014803+0.065791i,-0.029426+0.014427i,-0.049848+0.020128i,0.0062966+0.01892i,-0.017857-0.021183i,-0.0044499+0.0076481i,0.033697+0.0045192i,0.0060152+0.011042i
0.013406+0.059898i,0.012543+0.012303i,-0.0035403-0.0047078i,0.035914-0.0088032i,0.0048765-0.05228i,-0.0064467-0.021109i,0.019665-0.023206i,-0.043442-0.025123i,-0.038094-0.01346i,-0.010644-0.033082i,0.00062149+0.0012773i,0.029537-0.015752i,0.0081078-0.0080981i,0.038736+0.03461i,0.041312-0.030581i,0.0053623-0.025786i,0.018003+0.013548i,-0.021466-0.0092463i,-0.0044622-0.033165i,0.016005-0.032785i,-0.035069+0.062648i,-0.01974+0.057942i,-0.035091-0.028951i,-0.049721+0.012695i,-0.022573+0.017079i,-0.0073656-0.00020088i,0.010896+0.0082496i,-0.062544+1.1754e-05i,-0.047534+0.025389i,0.05876+0.0026134i,-0.0046405+0.014651i,-0.044006+0.031732i
0.027714+0.10312i,-0.012372+0.04552i,0.029877-0.027015i,0.034792-0.02149i,-0.01312+0.044634i,0.024117-0.036323i,0.0025108-0.10076i,-0.02012-0.019427i,0.0043103-0.021005i,0.026274-0.016902i,0.016544+0.0081621i,-0.062482-0.0025406i,0.006895+0.0022613i,0.097416-0.026965i,0.0092713+0.0023049i,-0.0068784+0.018598i,0.031913-0.013726i,0.024394+0.01562i,-0.022528-0.011254i,-0.05803-0.0045512i,0.0077403+0.030457i,-0.008292-0.023324i,-0.044154-0.0087015i,0.0041547+0.021102i,-0.027163+0.018135i,-0.039451-0.0077014i,-0.036131-0.048547i,-0.042583+0.0087795i,-0.0011728+0.0018796i,-0.014778-0.027467i,-0.0010112+0.045798i,0.013772+0.040688i
